timestamp,cmdb_id,kpi_name,value
1647770400,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6069.0
1647770460,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6069.0
1647770520,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6064.0
1647770580,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6079.5
1647770640,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6081.0
1647770700,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6070.5
1647770760,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6072.0
1647770820,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6098.0
1647770880,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6093.0
1647770940,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6081.0
1647771000,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6084.5
1647771060,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,8880.5
1647771120,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,8613.0
1647771180,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6590.0
1647771240,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6595.0
1647771300,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6079.5
1647771360,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6083.5
1647771420,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6084.5
1647771480,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6073.5
1647771540,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6091.5
1647771600,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6094.5
1647771660,istio-egressgateway-7bfdcc9d86-zpjpg,istio_agent_go_memstats_frees,6054.0
